Date,Weight (kg)
2016-02-28 7:23 AM,68.1
2016-02-23 8:33 AM,68.3
2016-02-20 11:55 AM,67.6
2016-02-19 7:55 AM,68.3
2016-02-18 8:32 AM,68.3
2016-02-17 9:21 AM,68.5
2016-02-16 8:37 AM,68
2016-02-15 8:34 AM,69.6
2016-02-12 8:46 AM,68.3
2016-02-11 8:20 AM,68.2
2016-02-10 8:40 AM,68.3
2016-02-09 8:40 AM,68.3
2016-02-02 9:13 AM,68.9
2016-02-01 6:31 PM,68.5
2016-01-29 8:13 AM,68.4
2016-01-28 8:22 AM,68.6
2016-01-26 8:17 AM,68.6
2016-01-22 8:49 AM,67.9
2016-01-21 8:39 AM,68.5
2016-01-20 7:35 AM,68.4
2016-01-16 12:01 PM,68.1
2016-01-15 8:40 AM,68.7
2016-01-14 8:15 AM,68.2
2016-01-13 8:32 AM,68.5
2016-01-12 8:43 AM,67.8
2016-01-11 6:39 PM,68.5
2016-01-08 10:20 AM,68.5
2016-01-07 1:24 PM,68.4
2016-01-06 10:54 AM,68.3
2016-01-05 9:01 AM,68.8
2016-01-04 8:17 AM,68
2016-01-03 8:53 AM,67.9
2016-01-02 10:07 AM,68.1
2016-01-01 5:52 PM,68.9
2015-12-31 11:28 AM,68.8
2015-12-28 6:37 PM,67.9
2015-12-25 8:56 AM,67.9
2015-12-24 10:38 AM,68
2015-12-23 8:04 AM,68.6
2015-12-20 3:31 PM,68.2
2015-12-16 9:32 AM,67.2
2015-12-15 7:59 AM,67.3
2015-12-10 9:30 AM,67.3
2015-12-09 7:22 AM,67.7
2015-12-08 8:22 AM,66.7
2015-12-06 12:05 PM,67
2015-12-04 8:50 AM,67.4
2015-12-03 9:15 AM,67.5
2015-12-02 8:33 AM,67.8
2015-12-01 8:56 AM,67.9
2015-11-30 8:36 AM,66.8
2015-11-29 7:41 AM,67.6
2015-11-28 10:59 AM,66.6
2015-11-25 7:34 AM,67.3
2015-11-24 7:38 AM,66.7
2015-11-23 7:46 AM,67.5
2015-11-22 10:04 AM,67.6
2015-11-21 6:41 AM,67.4
2015-11-20 7:38 AM,68.1
